"stud_id","teach_id","child_num","tc_close_1_","tc_close_2_","tc_close_3_","tc_con_1_","tc_con_2_","tc_close_4_","tc_con_3_","tc_con_4_","tc_con_5_","tc_close_5_","tcrs_ft1","tcrs_as2","tcrs_to1","tcrs_ao1","tcrs_ps1","tcrs_ft2","tcrs_as1","tcrs_ao2","tcrs_to2","tcrs_ps2","tcrs_ao3","tcrs_ft3","tcrs_as3","tcrs_to3","tcrs_ao4","tcrs_ps3","tcrs_ft4","tcrs_as4","tcrs_ao5","tcrs_to4","tcrs_ps4","tcrs_ft5","tcrs_as5","tcrs_ao6","tcrs_to5","tcrs_ps5","brief_1_","brief_2_","brief_3_","brief_4_","brief_5_","brief_6_","brief_7_","brief_8_","brief_9_","brief_10_","brief_11_","brief_12_","tcrs_act","tcrs_task","tcrs_asoc","tcrs_peer","tcrs_fru","brief_flex","brief_ec","brief_wm","HBQTCLO","HBQTCON"
82301,1023,3,4,4,4,4,3,4,2,4,3,3,2,3,2,4,2,1,2,3,1,2,4,2,3,1,4,2,2,3,5,1,1,1,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1.39999997615814,3,1.79999995231628,1.60000002384186,8,8,8,3.79999995231628,3.20000004768372
82310,1023,10,5,4,4,1,1,5,1,2,1,5,4,4,3,3,3,2,3,1,2,5,3,3,4,2,4,3,3,4,1,2,3,3,3,1,3,3,1,1,1,2,1,1,0,1,1,2,0,0,2.16666674613953,2.40000009536743,3.59999990463257,3.40000009536743,3,4,2,5,4.59999990463257,1.20000004768372
82323,1023,9,5,4,4,4,1,5,1,1,1,5,4,4,5,2,3,3,5,3,4,4,2,4,5,5,3,4,3,5,1,5,3,4,2,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4.80000019073486,4.19999980926514,3.59999990463257,3.59999990463257,0,0,0,4.59999990463257,1.60000002384186
82316,1023,1,4,4,4,1,1,3,1,1,1,5,4,5,5,1,3,4,5,1,5,4,1,5,4,5,1,3,4,5,1,5,2,4,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,3,4.19999980926514,0,0,0,4,1
82319,1023,6,5,4,5,1,1,5,1,1,1,5,5,2,4,2,4,3,3,1,4,5,1,5,3,3,2,4,3,4,1,3,3,4,1,1,3,4,1,1,0,1,0,1,0,0,0,1,1,0,1.33333337306976,3.40000009536743,2.59999990463257,4,4,2,1,3,4.80000019073486,1
82313,1023,5,5,4,5,1,1,5,1,1,1,5,5,4,5,2,5,3,5,1,4,5,2,4,5,4,3,5,4,5,1,4,4,4,2,1,5,5,1,0,0,0,0,0,0,0,1,0,0,0,1.66666662693024,4.40000009536743,4.19999980926514,4.80000019073486,4,1,0,1,4.80000019073486,1
82321,1023,8,4,4,4,1,1,3,1,1,1,5,4,3,4,2,2,3,3,1,3,4,1,4,3,3,2,3,3,3,1,3,3,3,1,1,4,3,1,1,0,1,1,1,0,0,0,1,0,0,1.33333337306976,3.40000009536743,2.59999990463257,3,3.40000009536743,2,1,3,4,1
82308,1023,7,3,1,1,2,3,1,3,2,4,2,2,2,5,1,2,3,2,1,4,3,1,3,2,4,2,2,1,3,1,4,3,2,3,3,4,4,0,2,1,0,2,1,0,1,0,0,1,1,1.5,4.19999980926514,2.40000009536743,2.79999995231628,2.20000004768372,4,5,0,1.60000002384186,2.79999995231628
82306,1023,2,3,3,3,1,1,2,1,1,1,5,4,3,5,1,3,3,3,1,5,3,1,5,2,5,1,4,4,2,1,5,3,4,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4.80000019073486,2.20000004768372,3.40000009536743,4,0,0,0,3.20000004768372,1
82412,1024,8,3,5,5,1,1,4,1,1,1,4,3,5,5,1,5,5,4,1,5,5,1,5,3,4,3,5,4,5,1,4,5,4,1,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1.33333337306976,4.40000009536743,3.59999990463257,5,4.19999980926514,0,0,0,4.19999980926514,1
